L,O,1
1500.0,-9.17,-39.2
1500.01,-9.21,-39.12
1500.02,-9.24,-39.12
1500.03,-9.27,-39.13
1500.04,-9.26,-39.17
1500.05,-9.31,-39.2
1500.06,-9.36,-39.24
1500.07,-9.42,-39.24
1500.08,-9.43,-39.21
1500.09,-9.44,-39.27
1500.1,-9.46,-39.25
1500.11,-9.52,-39.18
1500.12,-9.55,-39.19
1500.13,-9.55,-39.18
1500.14,-9.51,-39.22
1500.15,-9.5,-39.19
1500.16,-9.47,-39.24
1500.17,-9.46,-39.21
1500.18,-9.44,-39.27
1500.19,-9.44,-39.23
1500.2,-9.44,-39.26
1500.21,-9.42,-39.18
1500.22,-9.4,-39.18
1500.23,-9.42,-39.21
1500.24,-9.43,-39.28
1500.25,-9.53,-39.29
1500.26,-9.59,-39.28
1500.27,-9.38,-39.33
1500.28,-9.45,-39.28
1500.29,-9.6,-39.33
1500.3,-9.7,-39.28
1500.31,-9.79,-39.32
1500.32,-9.51,-39.42
1500.33,-9.35,-39.43
1500.34,-9.43,-39.35
1500.35,-9.76,-39.26
1500.36,-9.84,-39.32
1500.37,-9.63,-39.33
1500.38,-9.36,-39.43
1500.39,-9.3,-39.42
1500.4,-9.58,-39.26
1500.41,-9.66,-39.3
1500.42,-9.61,-39.36
1500.43,-9.52,-39.34
1500.44,-9.33,-39.4
1500.45,-9.35,-39.39
1500.46,-9.55,-39.26
1500.47,-10.13,-39.19
1500.48,-10.02,-39.26
1500.49,-9.93,-39.24
1500.5,-9.81,-39.33
1500.51,-9.7,-39.32
1500.52,-9.6,-39.26
1500.53,-9.53,-39.35
1500.54,-9.48,-39.31
1500.55,-9.41,-39.37
1500.56,-9.33,-39.33
1500.57,-9.28,-39.4
1500.58,-9.2,-39.45
1500.59,-9.14,-39.44
1500.6,-9.1,-39.43
1500.61,-9.06,-39.42
1500.62,-9.01,-39.43
1500.63,-8.96,-39.5
1500.64,-8.9,-39.37
1500.65,-8.88,-39.38
1500.66,-8.97,-39.36
1500.67,-8.79,-39.36
1500.68,-8.95,-39.27
1500.69,-8.99,-39.21
1500.7,-8.79,-39.15
1500.71,-8.62,-39.13
