L,O,1
1500.0,-9.12,-20.78
1500.01,-9.12,-20.72
1500.02,-9.0,-20.7
1500.03,-9.05,-20.66
1500.04,-9.58,-20.65
1500.05,-9.58,-20.63
1500.06,-9.43,-20.59
1500.07,-9.33,-20.61
1500.08,-9.26,-20.59
1500.09,-9.18,-20.59
1500.1,-9.13,-20.62
1500.11,-9.08,-20.64
1500.12,-9.07,-20.62
1500.13,-9.05,-20.67
1500.14,-9.03,-20.73
1500.15,-8.99,-20.77
1500.16,-8.98,-20.83
1500.17,-8.97,-20.88
1500.18,-8.97,-20.88
1500.19,-8.96,-20.87
1500.2,-8.96,-20.93
1500.21,-8.96,-20.88
1500.22,-8.96,-20.85
1500.23,-8.96,-20.86
1500.24,-9.0,-20.79
1500.25,-9.03,-20.75
1500.26,-9.05,-20.75
1500.27,-8.97,-20.68
1500.28,-8.87,-20.66
1500.29,-8.82,-20.68
1500.3,-8.84,-20.6
1500.31,-8.85,-20.59
1500.32,-8.86,-20.54
1500.33,-8.82,-20.55
1500.34,-8.83,-20.57
1500.35,-8.87,-20.6
1500.36,-8.91,-20.59
1500.37,-8.95,-20.61
1500.38,-8.96,-20.65
1500.39,-9.01,-20.64
1500.4,-9.05,-20.69
1500.41,-9.14,-20.73
1500.42,-9.17,-20.73
1500.43,-9.11,-20.76
1500.44,-8.17,-20.74
1500.45,-7.86,-20.74
1500.46,-8.28,-20.76
1500.47,-8.69,-20.77
1500.48,-9.07,-20.8
1500.49,-9.38,-20.8
1500.5,-9.54,-20.88
1500.51,-9.62,-20.86
1500.52,-9.65,-20.86
1500.53,-9.69,-20.81
1500.54,-9.74,-20.82
1500.55,-9.76,-20.77
1500.56,-9.71,-20.75
1500.57,-9.66,-20.76
1500.58,-9.62,-20.75
1500.59,-9.62,-20.74
1500.6,-9.63,-20.72
1500.61,-9.65,-20.68
1500.62,-9.6,-20.66
1500.63,-9.57,-20.63
1500.64,-9.54,-20.59
1500.65,-9.51,-20.63
1500.66,-9.51,-20.64
1500.67,-9.49,-20.63
1500.68,-9.45,-20.58
1500.69,-9.41,-20.61
1500.7,-9.38,-20.59
1500.71,-9.36,-20.56
1500.72,-9.32,-20.62
1500.73,-9.3,-20.59
1500.74,-9.27,-20.58
1500.75,-9.25,-20.62
1500.76,-9.57,-20.68
1500.77,-10.01,-20.74
1500.78,-9.85,-20.77
1500.79,-9.71,-20.76
1500.8,-9.59,-20.75
1500.81,-9.5,-20.77
1500.82,-9.44,-20.73
1500.83,-9.37,-20.72
1500.84,-9.29,-20.71
1500.85,-9.2,-20.63
1500.86,-9.16,-20.61
1500.87,-9.11,-20.6
1500.88,-9.08,-20.56
1500.89,-9.02,-20.54
1500.9,-8.98,-20.54
1500.91,-8.92,-20.49
1500.92,-8.69,-20.51
1500.93,-8.38,-20.56
1500.94,-8.33,-20.56
1500.95,-8.32,-20.54
1500.96,-8.25,-20.56
1500.97,-8.1,-20.55
1500.98,-8.08,-20.53
1500.99,-8.13,-20.61
1501.0,-8.15,-20.67
1501.01,-8.16,-20.68
1501.02,-8.19,-20.75
1501.03,-8.25,-20.78
1501.04,-8.31,-20.76
1501.05,-8.34,-20.81
1501.06,-8.39,-20.82
1501.07,-8.45,-20.8
1501.08,-8.53,-20.84
1501.09,-8.62,-20.83
1501.1,-8.7,-20.74
1501.11,-8.75,-20.76
1501.12,-8.84,-20.72
1501.13,-8.94,-20.66
1501.14,-9.02,-20.65
1501.15,-9.11,-20.63
1501.16,-9.17,-20.54
1501.17,-9.25,-20.52
1501.18,-9.34,-20.53
1501.19,-9.42,-20.51
1501.2,-9.45,-20.56
1501.21,-9.48,-20.53
1501.22,-9.51,-20.54
1501.23,-9.59,-20.6
1501.24,-9.68,-20.61
1501.25,-9.7,-20.65
1501.26,-9.67,-20.64
1501.27,-9.65,-20.71
1501.28,-9.75,-20.73
1501.29,-9.87,-20.75
1501.3,-9.87,-20.78
1501.31,-9.78,-20.78
1501.32,-9.7,-20.8
1501.33,-9.7,-20.82
1501.34,-9.79,-20.79
1501.35,-9.81,-20.8
1501.36,-9.76,-20.79
1501.37,-9.67,-20.75
1501.38,-9.58,-20.8
1501.39,-9.6,-20.76
1501.4,-9.65,-20.73
1501.41,-9.63,-20.75
1501.42,-9.56,-20.67
1501.43,-9.48,-20.63
1501.44,-9.46,-20.62
1501.45,-9.75,-20.61
1501.46,-9.8,-20.62
1501.47,-9.62,-20.62
1501.48,-9.32,-20.53
1501.49,-9.3,-20.5
1501.5,-9.35,-20.49
1501.51,-9.45,-20.52
1501.52,-9.75,-20.53
1501.53,-10.12,-20.59
1501.54,-9.99,-20.6
1501.55,-9.83,-20.64
1501.56,-9.69,-20.67
1501.57,-9.57,-20.72
1501.58,-9.52,-20.66
1501.59,-9.45,-20.68
1501.6,-9.39,-20.67
1501.61,-9.32,-20.67
1501.62,-9.23,-20.7
1501.63,-9.16,-20.68
1501.64,-9.14,-20.66
1501.65,-9.12,-20.67
1501.66,-9.1,-20.68
1501.67,-9.07,-20.68
1501.68,-8.65,-20.66
1501.69,-8.54,-20.62
1501.7,-8.54,-20.62
1501.71,-8.52,-20.58
1501.72,-8.47,-20.56
1501.73,-8.42,-20.55
1501.74,-8.25,-20.54
1501.75,-8.25,-20.52
1501.76,-8.25,-20.54
1501.77,-8.26,-20.46
1501.78,-8.26,-20.47
1501.79,-8.29,-20.46
1501.8,-8.33,-20.43
1501.81,-8.34,-20.43
1501.82,-8.38,-20.43
1501.83,-8.4,-20.46
1501.84,-8.44,-20.47
1501.85,-8.48,-20.51
1501.86,-8.54,-20.54
1501.87,-8.6,-20.59
1501.88,-8.65,-20.64
1501.89,-8.71,-20.63
1501.9,-8.78,-20.65
1501.91,-8.85,-20.69
1501.92,-8.91,-20.7
1501.93,-9.0,-20.73
1501.94,-9.08,-20.76
1501.95,-9.15,-20.74
1501.96,-9.2,-20.76
1501.97,-9.28,-20.78
1501.98,-9.37,-20.75
1501.99,-9.45,-20.7
1502.0,-9.49,-20.68
1502.01,-9.52,-20.6
1502.02,-9.53,-20.59
1502.03,-9.61,-20.58
1502.04,-9.65,-20.56
1502.05,-9.65,-20.55
1502.06,-9.66,-20.57
1502.07,-9.7,-20.54
1502.08,-9.75,-20.53
1502.09,-9.82,-20.53
1502.1,-9.84,-20.53
1502.11,-9.8,-20.54
1502.12,-9.8,-20.57
1502.13,-9.8,-20.61
1502.14,-9.84,-20.64
1502.15,-9.87,-20.68
1502.16,-9.86,-20.67
1502.17,-9.8,-20.71
1502.18,-9.8,-20.72
1502.19,-9.77,-20.71
1502.2,-9.73,-20.7
1502.21,-9.7,-20.72
1502.22,-9.64,-20.72
1502.23,-9.57,-20.72
1502.24,-9.51,-20.71
1502.25,-9.51,-20.64
1502.26,-9.52,-20.65
1502.27,-9.46,-20.63
1502.28,-9.32,-20.54
1502.29,-9.26,-20.51
1502.3,-9.22,-20.51
1502.31,-9.18,-20.46
1502.32,-9.15,-20.48
1502.33,-9.12,-20.49
1502.34,-9.09,-20.44
1502.35,-9.08,-20.45
1502.36,-9.87,-20.45
1502.37,-9.81,-20.48
1502.38,-9.64,-20.48
1502.39,-9.43,-20.46
1502.4,-9.23,-20.44
1502.41,-9.07,-20.43
1502.42,-9.0,-20.43
1502.43,-8.98,-20.44
1502.44,-8.93,-20.46
1502.45,-8.88,-20.48
1502.46,-8.84,-20.5
1502.47,-8.73,-20.52
1502.48,-8.56,-20.53
1502.49,-8.49,-20.52
1502.5,-8.47,-20.59
1502.51,-8.47,-20.6
1502.52,-8.47,-20.62
1502.53,-8.47,-20.66
1502.54,-8.47,-20.62
1502.55,-8.47,-20.6
1502.56,-8.47,-20.6
1502.57,-8.48,-20.59
1502.58,-8.49,-20.57
1502.59,-8.52,-20.57
1502.6,-8.54,-20.52
1502.61,-8.55,-20.51
1502.62,-8.59,-20.48
1502.63,-8.62,-20.44
1502.64,-8.64,-20.38
1502.65,-8.68,-20.35
1502.66,-8.72,-20.35
1502.67,-8.77,-20.35
1502.68,-8.81,-20.38
1502.69,-8.84,-20.38
1502.7,-8.9,-20.43
1502.71,-8.96,-20.46
1502.72,-9.02,-20.49
1502.73,-9.06,-20.5
1502.74,-9.12,-20.54
1502.75,-9.16,-20.56
1502.76,-9.24,-20.62
1502.77,-9.35,-20.7
1502.78,-9.44,-20.72
1502.79,-9.51,-20.75
1502.8,-9.55,-20.79
1502.81,-9.62,-20.76
1502.82,-9.74,-20.72
1502.83,-9.87,-20.7
1502.84,-9.87,-20.67
1502.85,-9.84,-20.64
1502.86,-9.85,-20.62
1502.87,-9.89,-20.57
1502.88,-9.96,-20.53
1502.89,-10.0,-20.51
1502.9,-9.89,-20.5
1502.91,-9.79,-20.46
1502.92,-9.75,-20.45
1502.93,-9.76,-20.43
1502.94,-9.78,-20.44
1502.95,-9.74,-20.47
1502.96,-9.67,-20.43
1502.97,-9.61,-20.43
1502.98,-9.59,-20.5
1502.99,-9.6,-20.51
1503.0,-9.58,-20.53
1503.01,-9.54,-20.56
1503.02,-9.51,-20.53
1503.03,-9.51,-20.56
1503.04,-9.47,-20.58
1503.05,-9.45,-20.57
1503.06,-9.44,-20.58
1503.07,-9.41,-20.61
