L,O,1
1500.0,-6.16,-39.72
1500.01,-6.17,-39.7
1500.02,-6.22,-39.64
1500.03,-6.23,-39.69
1500.04,-6.27,-39.55
1500.05,-6.3,-39.58
1500.06,-6.3,-39.48
1500.07,-6.3,-39.53
1500.08,-6.32,-39.56
1500.09,-6.35,-39.45
1500.1,-6.37,-39.5
1500.11,-6.36,-39.46
1500.12,-6.34,-39.5
1500.13,-6.35,-39.41
1500.14,-6.35,-39.39
1500.15,-6.36,-39.37
1500.16,-6.37,-39.37
1500.17,-6.34,-39.32
1500.18,-6.32,-39.35
1500.19,-6.3,-39.42
1500.2,-6.3,-39.37
1500.21,-6.3,-39.39
1500.22,-6.28,-39.4
1500.23,-6.28,-39.41
1500.24,-6.28,-39.49
1500.25,-6.28,-39.49
1500.26,-6.26,-39.48
1500.27,-6.44,-39.52
1500.28,-7.03,-39.44
1500.29,-6.94,-39.36
1500.3,-6.67,-39.44
1500.31,-6.5,-39.36
1500.32,-6.4,-39.42
1500.33,-6.33,-39.38
1500.34,-6.3,-39.43
1500.35,-6.3,-39.29
1500.36,-6.3,-39.42
1500.37,-6.34,-39.35
1500.38,-6.34,-39.4
1500.39,-6.32,-39.43
1500.4,-6.34,-39.46
1500.41,-6.41,-39.46
1500.42,-6.5,-39.53
1500.43,-6.52,-39.49
1500.44,-6.52,-39.58
1500.45,-6.53,-39.54
1500.46,-6.55,-39.54
1500.47,-6.57,-39.56
1500.48,-6.58,-39.55
1500.49,-6.57,-39.62
1500.5,-6.54,-39.64
1500.51,-6.52,-39.61
1500.52,-6.8,-39.66
1500.53,-6.8,-39.8
1500.54,-6.8,-39.72
1500.55,-6.77,-39.71
1500.56,-6.72,-39.72
1500.57,-6.69,-39.76
1500.58,-6.65,-39.77
1500.59,-6.62,-39.75
1500.6,-6.57,-39.83
1500.61,-6.52,-39.82
1500.62,-6.48,-39.91
1500.63,-6.43,-39.84
1500.64,-6.38,-39.88
1500.65,-6.37,-39.85
1500.66,-6.35,-39.86
1500.67,-6.31,-39.86
1500.68,-6.28,-39.86
1500.69,-6.26,-40.0
1500.7,-6.28,-40.0
1500.71,-6.29,-40.06
1500.72,-6.3,-40.09
1500.73,-6.3,-40.18
1500.74,-6.32,-40.23
1500.75,-6.51,-40.16
1500.76,-6.52,-40.31
1500.77,-6.39,-40.23
1500.78,-6.37,-40.28
1500.79,-6.42,-40.31
1500.8,-6.53,-40.23
1500.81,-6.5,-40.25
1500.82,-6.42,-40.28
1500.83,-6.3,-40.36
1500.84,-6.19,-40.33
1500.85,-6.12,-40.33
1500.86,-6.09,-40.36
1500.87,-6.06,-40.39
1500.88,-6.02,-40.43
1500.89,-5.98,-40.46
1500.9,-5.97,-40.42
1500.91,-5.98,-40.4
1500.92,-5.98,-40.46
1500.93,-5.95,-40.55
1500.94,-5.93,-40.47
1500.95,-5.94,-40.47
1500.96,-5.98,-40.46
1500.97,-6.01,-40.48
1500.98,-6.01,-40.43
1500.99,-6.02,-40.43
1501.0,-6.07,-40.42
1501.01,-6.14,-40.41
1501.02,-6.18,-40.35
1501.03,-6.2,-40.26
1501.04,-6.24,-40.25
1501.05,-6.3,-40.3
1501.06,-6.35,-40.22
1501.07,-6.37,-40.14
1501.08,-6.37,-40.03
1501.09,-6.37,-40.04
1501.1,-6.42,-39.98
1501.11,-6.49,-39.97
1501.12,-6.54,-39.93
1501.13,-6.62,-39.92
1501.14,-6.68,-39.81
1501.15,-6.75,-39.85
1501.16,-6.85,-39.75
1501.17,-6.87,-39.81
1501.18,-6.87,-39.76
1501.19,-6.87,-39.73
1501.2,-6.89,-39.73
